prefix	lane_number	seq_id	sample_id	population	data_type
100_S99_L001_R1_001	1	100	100	LB	pe
100_S99_L001_R2_001	1	100	100	LB	pe
100_S99_L002_R1_001	2	100	100	LB	pe
100_S99_L002_R2_001	2	100	100	LB	pe
101_S100_L001_R1_001	1	101	101	LB	pe
101_S100_L001_R2_001	1	101	101	LB	pe
101_S100_L002_R1_001	2	101	101	LB	pe
101_S100_L002_R2_001	2	101	101	LB	pe
102_S101_L001_R1_001	1	102	102	LB	pe
102_S101_L001_R2_001	1	102	102	LB	pe
102_S101_L002_R1_001	2	102	102	LB	pe
102_S101_L002_R2_001	2	102	102	LB	pe
103_S102_L001_R1_001	1	103	103	FL	pe
103_S102_L001_R2_001	1	103	103	FL	pe
103_S102_L002_R1_001	2	103	103	FL	pe
103_S102_L002_R2_001	2	103	103	FL	pe
104_S103_L001_R1_001	1	104	104	FL	pe
104_S103_L001_R2_001	1	104	104	FL	pe
104_S103_L002_R1_001	2	104	104	FL	pe
104_S103_L002_R2_001	2	104	104	FL	pe
105_S104_L001_R1_001	1	105	105	FL	pe
105_S104_L001_R2_001	1	105	105	FL	pe
105_S104_L002_R1_001	2	105	105	FL	pe
105_S104_L002_R2_001	2	105	105	FL	pe
106_S105_L001_R1_001	1	106	106	FL	pe
106_S105_L001_R2_001	1	106	106	FL	pe
106_S105_L002_R1_001	2	106	106	FL	pe
106_S105_L002_R2_001	2	106	106	FL	pe
107_S106_L001_R1_001	1	107	107	FL	pe
107_S106_L001_R2_001	1	107	107	FL	pe
107_S106_L002_R1_001	2	107	107	FL	pe
107_S106_L002_R2_001	2	107	107	FL	pe
108_S107_L001_R1_001	1	108	108	FL	pe
108_S107_L001_R2_001	1	108	108	FL	pe
108_S107_L002_R1_001	2	108	108	FL	pe
108_S107_L002_R2_001	2	108	108	FL	pe
109_S108_L001_R1_001	1	109	109	FL	pe
109_S108_L001_R2_001	1	109	109	FL	pe
109_S108_L002_R1_001	2	109	109	FL	pe
109_S108_L002_R2_001	2	109	109	FL	pe
10_S10_L001_R1_001	1	10	10	GA	pe
10_S10_L001_R2_001	1	10	10	GA	pe
10_S10_L002_R1_001	2	10	10	GA	pe
10_S10_L002_R2_001	2	10	10	GA	pe
110_S109_L001_R1_001	1	110	110	FL	pe
110_S109_L001_R2_001	1	110	110	FL	pe
110_S109_L002_R1_001	2	110	110	FL	pe
110_S109_L002_R2_001	2	110	110	FL	pe
111_S110_L001_R1_001	1	111	111	FL	pe
111_S110_L001_R2_001	1	111	111	FL	pe
111_S110_L002_R1_001	2	111	111	FL	pe
111_S110_L002_R2_001	2	111	111	FL	pe
112_S111_L001_R1_001	1	112	112	FL	pe
112_S111_L001_R2_001	1	112	112	FL	pe
112_S111_L002_R1_001	2	112	112	FL	pe
112_S111_L002_R2_001	2	112	112	FL	pe
113_S112_L001_R1_001	1	113	113	FL	pe
113_S112_L001_R2_001	1	113	113	FL	pe
113_S112_L002_R1_001	2	113	113	FL	pe
113_S112_L002_R2_001	2	113	113	FL	pe
114_S113_L001_R1_001	1	114	114	FL	pe
114_S113_L001_R2_001	1	114	114	FL	pe
114_S113_L002_R1_001	2	114	114	FL	pe
114_S113_L002_R2_001	2	114	114	FL	pe
115_S114_L001_R1_001	1	115	115	FL	pe
115_S114_L001_R2_001	1	115	115	FL	pe
115_S114_L002_R1_001	2	115	115	FL	pe
115_S114_L002_R2_001	2	115	115	FL	pe
116_S115_L001_R1_001	1	116	116	FL	pe
116_S115_L001_R2_001	1	116	116	FL	pe
116_S115_L002_R1_001	2	116	116	FL	pe
116_S115_L002_R2_001	2	116	116	FL	pe
117_S116_L001_R1_001	1	117	117	FL	pe
117_S116_L001_R2_001	1	117	117	FL	pe
117_S116_L002_R1_001	2	117	117	FL	pe
117_S116_L002_R2_001	2	117	117	FL	pe
118_S117_L001_R1_001	1	118	118	FL	pe
118_S117_L001_R2_001	1	118	118	FL	pe
118_S117_L002_R1_001	2	118	118	FL	pe
118_S117_L002_R2_001	2	118	118	FL	pe
119_S118_L001_R1_001	1	119	119	FL	pe
119_S118_L001_R2_001	1	119	119	FL	pe
119_S118_L002_R1_001	2	119	119	FL	pe
119_S118_L002_R2_001	2	119	119	FL	pe
11_S11_L001_R1_001	1	11	11	GA	pe
11_S11_L001_R2_001	1	11	11	GA	pe
11_S11_L002_R1_001	2	11	11	GA	pe
11_S11_L002_R2_001	2	11	11	GA	pe
120_S119_L001_R1_001	1	120	120	FL	pe
120_S119_L001_R2_001	1	120	120	FL	pe
120_S119_L002_R1_001	2	120	120	FL	pe
120_S119_L002_R2_001	2	120	120	FL	pe
121_S120_L001_R1_001	1	121	121	FL	pe
121_S120_L001_R2_001	1	121	121	FL	pe
121_S120_L002_R1_001	2	121	121	FL	pe
121_S120_L002_R2_001	2	121	121	FL	pe
122_S121_L001_R1_001	1	122	122	FL	pe
122_S121_L001_R2_001	1	122	122	FL	pe
122_S121_L002_R1_001	2	122	122	FL	pe
122_S121_L002_R2_001	2	122	122	FL	pe
123_S122_L001_R1_001	1	123	123	FL	pe
123_S122_L001_R2_001	1	123	123	FL	pe
123_S122_L002_R1_001	2	123	123	FL	pe
123_S122_L002_R2_001	2	123	123	FL	pe
124_S123_L001_R1_001	1	124	124	FL	pe
124_S123_L001_R2_001	1	124	124	FL	pe
124_S123_L002_R1_001	2	124	124	FL	pe
124_S123_L002_R2_001	2	124	124	FL	pe
125_S124_L001_R1_001	1	125	125	FL	pe
125_S124_L001_R2_001	1	125	125	FL	pe
125_S124_L002_R1_001	2	125	125	FL	pe
125_S124_L002_R2_001	2	125	125	FL	pe
126_S125_L001_R1_001	1	126	126	FL	pe
126_S125_L001_R2_001	1	126	126	FL	pe
126_S125_L002_R1_001	2	126	126	FL	pe
126_S125_L002_R2_001	2	126	126	FL	pe
127_S126_L001_R1_001	1	127	127	FL	pe
127_S126_L001_R2_001	1	127	127	FL	pe
127_S126_L002_R1_001	2	127	127	FL	pe
127_S126_L002_R2_001	2	127	127	FL	pe
128_S127_L001_R1_001	1	128	128	FL	pe
128_S127_L001_R2_001	1	128	128	FL	pe
128_S127_L002_R1_001	2	128	128	FL	pe
128_S127_L002_R2_001	2	128	128	FL	pe
129_S128_L001_R1_001	1	129	129	FL	pe
129_S128_L001_R2_001	1	129	129	FL	pe
129_S128_L002_R1_001	2	129	129	FL	pe
129_S128_L002_R2_001	2	129	129	FL	pe
12_S12_L001_R1_001	1	12	12	GA	pe
12_S12_L001_R2_001	1	12	12	GA	pe
12_S12_L002_R1_001	2	12	12	GA	pe
12_S12_L002_R2_001	2	12	12	GA	pe
130_S129_L001_R1_001	1	130	130	FL	pe
130_S129_L001_R2_001	1	130	130	FL	pe
130_S129_L002_R1_001	2	130	130	FL	pe
130_S129_L002_R2_001	2	130	130	FL	pe
131_S130_L001_R1_001	1	131	131	FL	pe
131_S130_L001_R2_001	1	131	131	FL	pe
131_S130_L002_R1_001	2	131	131	FL	pe
131_S130_L002_R2_001	2	131	131	FL	pe
132_S131_L001_R1_001	1	132	132	FL	pe
132_S131_L001_R2_001	1	132	132	FL	pe
132_S131_L002_R1_001	2	132	132	FL	pe
132_S131_L002_R2_001	2	132	132	FL	pe
133_S132_L001_R1_001	1	133	133	FL	pe
133_S132_L001_R2_001	1	133	133	FL	pe
133_S132_L002_R1_001	2	133	133	FL	pe
133_S132_L002_R2_001	2	133	133	FL	pe
134_S133_L001_R1_001	1	134	134	FL	pe
134_S133_L001_R2_001	1	134	134	FL	pe
134_S133_L002_R1_001	2	134	134	FL	pe
134_S133_L002_R2_001	2	134	134	FL	pe
135_S134_L001_R1_001	1	135	135	FL	pe
135_S134_L001_R2_001	1	135	135	FL	pe
135_S134_L002_R1_001	2	135	135	FL	pe
135_S134_L002_R2_001	2	135	135	FL	pe
136_S135_L001_R1_001	1	136	136	FL	pe
136_S135_L001_R2_001	1	136	136	FL	pe
136_S135_L002_R1_001	2	136	136	FL	pe
136_S135_L002_R2_001	2	136	136	FL	pe
137_S136_L001_R1_001	1	137	137	FL	pe
137_S136_L001_R2_001	1	137	137	FL	pe
137_S136_L002_R1_001	2	137	137	FL	pe
137_S136_L002_R2_001	2	137	137	FL	pe
138_S137_L001_R1_001	1	138	138	SC	pe
138_S137_L001_R2_001	1	138	138	SC	pe
138_S137_L002_R1_001	2	138	138	SC	pe
138_S137_L002_R2_001	2	138	138	SC	pe
139_S138_L001_R1_001	1	139	139	SC	pe
139_S138_L001_R2_001	1	139	139	SC	pe
139_S138_L002_R1_001	2	139	139	SC	pe
139_S138_L002_R2_001	2	139	139	SC	pe
13_S13_L001_R1_001	1	13	13	GA	pe
13_S13_L001_R2_001	1	13	13	GA	pe
13_S13_L002_R1_001	2	13	13	GA	pe
13_S13_L002_R2_001	2	13	13	GA	pe
140_S139_L001_R1_001	1	140	140	SC	pe
140_S139_L001_R2_001	1	140	140	SC	pe
140_S139_L002_R1_001	2	140	140	SC	pe
140_S139_L002_R2_001	2	140	140	SC	pe
141_S140_L001_R1_001	1	141	141	SC	pe
141_S140_L001_R2_001	1	141	141	SC	pe
141_S140_L002_R1_001	2	141	141	SC	pe
141_S140_L002_R2_001	2	141	141	SC	pe
142_S141_L001_R1_001	1	142	142	SC	pe
142_S141_L001_R2_001	1	142	142	SC	pe
142_S141_L002_R1_001	2	142	142	SC	pe
142_S141_L002_R2_001	2	142	142	SC	pe
143_S142_L001_R1_001	1	143	143	SC	pe
143_S142_L001_R2_001	1	143	143	SC	pe
143_S142_L002_R1_001	2	143	143	SC	pe
143_S142_L002_R2_001	2	143	143	SC	pe
144_S143_L001_R1_001	1	144	144	SC	pe
144_S143_L001_R2_001	1	144	144	SC	pe
144_S143_L002_R1_001	2	144	144	SC	pe
144_S143_L002_R2_001	2	144	144	SC	pe
145_S144_L001_R1_001	1	145	145	SC	pe
145_S144_L001_R2_001	1	145	145	SC	pe
145_S144_L002_R1_001	2	145	145	SC	pe
145_S144_L002_R2_001	2	145	145	SC	pe
146_S145_L001_R1_001	1	146	146	SC	pe
146_S145_L001_R2_001	1	146	146	SC	pe
146_S145_L002_R1_001	2	146	146	SC	pe
146_S145_L002_R2_001	2	146	146	SC	pe
147_S146_L001_R1_001	1	147	147	SC	pe
147_S146_L001_R2_001	1	147	147	SC	pe
147_S146_L002_R1_001	2	147	147	SC	pe
147_S146_L002_R2_001	2	147	147	SC	pe
148_S147_L001_R1_001	1	148	148	SC	pe
148_S147_L001_R2_001	1	148	148	SC	pe
148_S147_L002_R1_001	2	148	148	SC	pe
148_S147_L002_R2_001	2	148	148	SC	pe
149_S148_L001_R1_001	1	149	149	SC	pe
149_S148_L001_R2_001	1	149	149	SC	pe
149_S148_L002_R1_001	2	149	149	SC	pe
149_S148_L002_R2_001	2	149	149	SC	pe
14_S14_L001_R1_001	1	14	14	GA	pe
14_S14_L001_R2_001	1	14	14	GA	pe
14_S14_L002_R1_001	2	14	14	GA	pe
14_S14_L002_R2_001	2	14	14	GA	pe
150_S149_L001_R1_001	1	150	150	SC	pe
150_S149_L001_R2_001	1	150	150	SC	pe
150_S149_L002_R1_001	2	150	150	SC	pe
150_S149_L002_R2_001	2	150	150	SC	pe
151_S150_L001_R1_001	1	151	151	SC	pe
151_S150_L001_R2_001	1	151	151	SC	pe
151_S150_L002_R1_001	2	151	151	SC	pe
151_S150_L002_R2_001	2	151	151	SC	pe
152_S151_L001_R1_001	1	152	152	SC	pe
152_S151_L001_R2_001	1	152	152	SC	pe
152_S151_L002_R1_001	2	152	152	SC	pe
152_S151_L002_R2_001	2	152	152	SC	pe
153_S152_L001_R1_001	1	153	153	SC	pe
153_S152_L001_R2_001	1	153	153	SC	pe
153_S152_L002_R1_001	2	153	153	SC	pe
153_S152_L002_R2_001	2	153	153	SC	pe
154_S153_L001_R1_001	1	154	154	SC	pe
154_S153_L001_R2_001	1	154	154	SC	pe
154_S153_L002_R1_001	2	154	154	SC	pe
154_S153_L002_R2_001	2	154	154	SC	pe
155_S154_L001_R1_001	1	155	155	SC	pe
155_S154_L001_R2_001	1	155	155	SC	pe
155_S154_L002_R1_001	2	155	155	SC	pe
155_S154_L002_R2_001	2	155	155	SC	pe
156_S155_L001_R1_001	1	156	156	SC	pe
156_S155_L001_R2_001	1	156	156	SC	pe
156_S155_L002_R1_001	2	156	156	SC	pe
156_S155_L002_R2_001	2	156	156	SC	pe
157_S156_L001_R1_001	1	157	157	SC	pe
157_S156_L001_R2_001	1	157	157	SC	pe
157_S156_L002_R1_001	2	157	157	SC	pe
157_S156_L002_R2_001	2	157	157	SC	pe
158_S157_L001_R1_001	1	158	158	SC	pe
158_S157_L001_R2_001	1	158	158	SC	pe
158_S157_L002_R1_001	2	158	158	SC	pe
158_S157_L002_R2_001	2	158	158	SC	pe
159_S158_L001_R1_001	1	159	159	SC	pe
159_S158_L001_R2_001	1	159	159	SC	pe
159_S158_L002_R1_001	2	159	159	SC	pe
159_S158_L002_R2_001	2	159	159	SC	pe
15_S15_L001_R1_001	1	15	15	GA	pe
15_S15_L001_R2_001	1	15	15	GA	pe
15_S15_L002_R1_001	2	15	15	GA	pe
15_S15_L002_R2_001	2	15	15	GA	pe
160_S159_L001_R1_001	1	160	160	SC	pe
160_S159_L001_R2_001	1	160	160	SC	pe
160_S159_L002_R1_001	2	160	160	SC	pe
160_S159_L002_R2_001	2	160	160	SC	pe
161_S160_L001_R1_001	1	161	161	SC	pe
161_S160_L001_R2_001	1	161	161	SC	pe
161_S160_L002_R1_001	2	161	161	SC	pe
161_S160_L002_R2_001	2	161	161	SC	pe
162_S161_L001_R1_001	1	162	162	SC	pe
162_S161_L001_R2_001	1	162	162	SC	pe
162_S161_L002_R1_001	2	162	162	SC	pe
162_S161_L002_R2_001	2	162	162	SC	pe
163_S162_L001_R1_001	1	163	163	SC	pe
163_S162_L001_R2_001	1	163	163	SC	pe
163_S162_L002_R1_001	2	163	163	SC	pe
163_S162_L002_R2_001	2	163	163	SC	pe
164_S163_L001_R1_001	1	164	164	SC	pe
164_S163_L001_R2_001	1	164	164	SC	pe
164_S163_L002_R1_001	2	164	164	SC	pe
164_S163_L002_R2_001	2	164	164	SC	pe
165_S164_L001_R1_001	1	165	165	SC	pe
165_S164_L001_R2_001	1	165	165	SC	pe
165_S164_L002_R1_001	2	165	165	SC	pe
165_S164_L002_R2_001	2	165	165	SC	pe
166_S165_L001_R1_001	1	166	166	SC	pe
166_S165_L001_R2_001	1	166	166	SC	pe
166_S165_L002_R1_001	2	166	166	SC	pe
166_S165_L002_R2_001	2	166	166	SC	pe
167_S166_L001_R1_001	1	167	167	SC	pe
167_S166_L001_R2_001	1	167	167	SC	pe
167_S166_L002_R1_001	2	167	167	SC	pe
167_S166_L002_R2_001	2	167	167	SC	pe
168_S167_L001_R1_001	1	168	168	SC	pe
168_S167_L001_R2_001	1	168	168	SC	pe
168_S167_L002_R1_001	2	168	168	SC	pe
168_S167_L002_R2_001	2	168	168	SC	pe
169_S168_L001_R1_001	1	169	169	SC	pe
169_S168_L001_R2_001	1	169	169	SC	pe
169_S168_L002_R1_001	2	169	169	SC	pe
169_S168_L002_R2_001	2	169	169	SC	pe
16_S16_L001_R1_001	1	16	16	GA	pe
16_S16_L001_R2_001	1	16	16	GA	pe
16_S16_L002_R1_001	2	16	16	GA	pe
16_S16_L002_R2_001	2	16	16	GA	pe
170_S169_L001_R1_001	1	170	170	SC	pe
170_S169_L001_R2_001	1	170	170	SC	pe
170_S169_L002_R1_001	2	170	170	SC	pe
170_S169_L002_R2_001	2	170	170	SC	pe
171_S170_L001_R1_001	1	171	171	SC	pe
171_S170_L001_R2_001	1	171	171	SC	pe
171_S170_L002_R1_001	2	171	171	SC	pe
171_S170_L002_R2_001	2	171	171	SC	pe
172_S171_L001_R1_001	1	172	172	SC	pe
172_S171_L001_R2_001	1	172	172	SC	pe
172_S171_L002_R1_001	2	172	172	SC	pe
172_S171_L002_R2_001	2	172	172	SC	pe
173_S172_L001_R1_001	1	173	173	NJ	pe
173_S172_L001_R2_001	1	173	173	NJ	pe
173_S172_L002_R1_001	2	173	173	NJ	pe
173_S172_L002_R2_001	2	173	173	NJ	pe
174_S173_L001_R1_001	1	174	174	VA	pe
174_S173_L001_R2_001	1	174	174	VA	pe
174_S173_L002_R1_001	2	174	174	VA	pe
174_S173_L002_R2_001	2	174	174	VA	pe
175_S174_L001_R1_001	1	175	175	VA	pe
175_S174_L001_R2_001	1	175	175	VA	pe
175_S174_L002_R1_001	2	175	175	VA	pe
175_S174_L002_R2_001	2	175	175	VA	pe
176_S175_L001_R1_001	1	176	176	VA	pe
176_S175_L001_R2_001	1	176	176	VA	pe
176_S175_L002_R1_001	2	176	176	VA	pe
176_S175_L002_R2_001	2	176	176	VA	pe
177_S176_L001_R1_001	1	177	177	VA	pe
177_S176_L001_R2_001	1	177	177	VA	pe
177_S176_L002_R1_001	2	177	177	VA	pe
177_S176_L002_R2_001	2	177	177	VA	pe
178_S177_L001_R1_001	1	178	178	VA	pe
178_S177_L001_R2_001	1	178	178	VA	pe
178_S177_L002_R1_001	2	178	178	VA	pe
178_S177_L002_R2_001	2	178	178	VA	pe
179_S178_L001_R1_001	1	179	179	VA	pe
179_S178_L001_R2_001	1	179	179	VA	pe
179_S178_L002_R1_001	2	179	179	VA	pe
179_S178_L002_R2_001	2	179	179	VA	pe
17_S17_L001_R1_001	1	17	17	GA	pe
17_S17_L001_R2_001	1	17	17	GA	pe
17_S17_L002_R1_001	2	17	17	GA	pe
17_S17_L002_R2_001	2	17	17	GA	pe
180_S179_L001_R1_001	1	180	180	VA	pe
180_S179_L001_R2_001	1	180	180	VA	pe
180_S179_L002_R1_001	2	180	180	VA	pe
180_S179_L002_R2_001	2	180	180	VA	pe
181_S180_L001_R1_001	1	181	181	VA	pe
181_S180_L001_R2_001	1	181	181	VA	pe
181_S180_L002_R1_001	2	181	181	VA	pe
181_S180_L002_R2_001	2	181	181	VA	pe
182_S181_L001_R1_001	1	182	182	VA	pe
182_S181_L001_R2_001	1	182	182	VA	pe
182_S181_L002_R1_001	2	182	182	VA	pe
182_S181_L002_R2_001	2	182	182	VA	pe
183_S182_L001_R1_001	1	183	183	VA	pe
183_S182_L001_R2_001	1	183	183	VA	pe
183_S182_L002_R1_001	2	183	183	VA	pe
183_S182_L002_R2_001	2	183	183	VA	pe
184_S183_L001_R1_001	1	184	184	VA	pe
184_S183_L001_R2_001	1	184	184	VA	pe
184_S183_L002_R1_001	2	184	184	VA	pe
184_S183_L002_R2_001	2	184	184	VA	pe
185_S184_L001_R1_001	1	185	185	NJ	pe
185_S184_L001_R2_001	1	185	185	NJ	pe
185_S184_L002_R1_001	2	185	185	NJ	pe
185_S184_L002_R2_001	2	185	185	NJ	pe
186_S185_L001_R1_001	1	186	186	NJ	pe
186_S185_L001_R2_001	1	186	186	NJ	pe
186_S185_L002_R1_001	2	186	186	NJ	pe
186_S185_L002_R2_001	2	186	186	NJ	pe
187_S186_L001_R1_001	1	187	187	NJ	pe
187_S186_L001_R2_001	1	187	187	NJ	pe
187_S186_L002_R1_001	2	187	187	NJ	pe
187_S186_L002_R2_001	2	187	187	NJ	pe
188_S187_L001_R1_001	1	188	188	NJ	pe
188_S187_L001_R2_001	1	188	188	NJ	pe
188_S187_L002_R1_001	2	188	188	NJ	pe
188_S187_L002_R2_001	2	188	188	NJ	pe
189_S188_L001_R1_001	1	189	189	MD	pe
189_S188_L001_R2_001	1	189	189	MD	pe
189_S188_L002_R1_001	2	189	189	MD	pe
189_S188_L002_R2_001	2	189	189	MD	pe
18_S18_L001_R1_001	1	18	18	GA	pe
18_S18_L001_R2_001	1	18	18	GA	pe
18_S18_L002_R1_001	2	18	18	GA	pe
18_S18_L002_R2_001	2	18	18	GA	pe
190_S189_L001_R1_001	1	190	190	MD	pe
190_S189_L001_R2_001	1	190	190	MD	pe
190_S189_L002_R1_001	2	190	190	MD	pe
190_S189_L002_R2_001	2	190	190	MD	pe
191_S190_L001_R1_001	1	191	191	MD	pe
191_S190_L001_R2_001	1	191	191	MD	pe
191_S190_L002_R1_001	2	191	191	MD	pe
191_S190_L002_R2_001	2	191	191	MD	pe
192_S398_L001_R1_001	1	192	192	MD	pe
192_S398_L001_R2_001	1	192	192	MD	pe
192_S398_L002_R1_001	2	192	192	MD	pe
192_S398_L002_R2_001	2	192	192	MD	pe
193_S191_L001_R1_001	1	193	193	MD	pe
193_S191_L001_R2_001	1	193	193	MD	pe
193_S191_L002_R1_001	2	193	193	MD	pe
193_S191_L002_R2_001	2	193	193	MD	pe
194_S192_L001_R1_001	1	194	194	MD	pe
194_S192_L001_R2_001	1	194	194	MD	pe
194_S192_L002_R1_001	2	194	194	MD	pe
194_S192_L002_R2_001	2	194	194	MD	pe
195_S193_L001_R1_001	1	195	195	MD	pe
195_S193_L001_R2_001	1	195	195	MD	pe
195_S193_L002_R1_001	2	195	195	MD	pe
195_S193_L002_R2_001	2	195	195	MD	pe
196_S194_L001_R1_001	1	196	196	MD	pe
196_S194_L001_R2_001	1	196	196	MD	pe
196_S194_L002_R1_001	2	196	196	MD	pe
196_S194_L002_R2_001	2	196	196	MD	pe
197_S195_L001_R1_001	1	197	197	MD	pe
197_S195_L001_R2_001	1	197	197	MD	pe
197_S195_L002_R1_001	2	197	197	MD	pe
197_S195_L002_R2_001	2	197	197	MD	pe
198_S196_L001_R1_001	1	198	198	MD	pe
198_S196_L001_R2_001	1	198	198	MD	pe
198_S196_L002_R1_001	2	198	198	MD	pe
