prefix	lane_number	seq_id	sample_id	population	data_type
198_S196_L002_R2_001	2	198	198	MD	pe
199_S197_L001_R1_001	1	199	199	MD	pe
199_S197_L001_R2_001	1	199	199	MD	pe
199_S197_L002_R1_001	2	199	199	MD	pe
199_S197_L002_R2_001	2	199	199	MD	pe
19_S19_L001_R1_001	1	19	19	GA	pe
19_S19_L001_R2_001	1	19	19	GA	pe
19_S19_L002_R1_001	2	19	19	GA	pe
19_S19_L002_R2_001	2	19	19	GA	pe
1_S1_L001_R1_001	1	1	1	GA	pe
1_S1_L001_R2_001	1	1	1	GA	pe
1_S1_L002_R1_001	2	1	1	GA	pe
1_S1_L002_R2_001	2	1	1	GA	pe
200_S198_L001_R1_001	1	200	200	MD	pe
200_S198_L001_R2_001	1	200	200	MD	pe
200_S198_L002_R1_001	2	200	200	MD	pe
200_S198_L002_R2_001	2	200	200	MD	pe
201_S199_L001_R1_001	1	201	201	MD	pe
201_S199_L001_R2_001	1	201	201	MD	pe
201_S199_L002_R1_001	2	201	201	MD	pe
201_S199_L002_R2_001	2	201	201	MD	pe
202_S200_L001_R1_001	1	202	202	MD	pe
202_S200_L001_R2_001	1	202	202	MD	pe
202_S200_L002_R1_001	2	202	202	MD	pe
202_S200_L002_R2_001	2	202	202	MD	pe
203_S201_L001_R1_001	1	203	203	MD	pe
203_S201_L001_R2_001	1	203	203	MD	pe
203_S201_L002_R1_001	2	203	203	MD	pe
203_S201_L002_R2_001	2	203	203	MD	pe
204_S202_L001_R1_001	1	204	204	MD	pe
204_S202_L001_R2_001	1	204	204	MD	pe
204_S202_L002_R1_001	2	204	204	MD	pe
204_S202_L002_R2_001	2	204	204	MD	pe
205_S203_L001_R1_001	1	205	205	MD	pe
205_S203_L001_R2_001	1	205	205	MD	pe
205_S203_L002_R1_001	2	205	205	MD	pe
205_S203_L002_R2_001	2	205	205	MD	pe
206_S204_L001_R1_001	1	206	206	MD	pe
206_S204_L001_R2_001	1	206	206	MD	pe
206_S204_L002_R1_001	2	206	206	MD	pe
206_S204_L002_R2_001	2	206	206	MD	pe
207_S205_L001_R1_001	1	207	207	MD	pe
207_S205_L001_R2_001	1	207	207	MD	pe
207_S205_L002_R1_001	2	207	207	MD	pe
207_S205_L002_R2_001	2	207	207	MD	pe
208_S206_L001_R1_001	1	208	208	MD	pe
208_S206_L001_R2_001	1	208	208	MD	pe
208_S206_L002_R1_001	2	208	208	MD	pe
208_S206_L002_R2_001	2	208	208	MD	pe
209_S207_L001_R1_001	1	209	209	MD	pe
209_S207_L001_R2_001	1	209	209	MD	pe
209_S207_L002_R1_001	2	209	209	MD	pe
209_S207_L002_R2_001	2	209	209	MD	pe
20_S20_L001_R1_001	1	20	20	GA	pe
20_S20_L001_R2_001	1	20	20	GA	pe
20_S20_L002_R1_001	2	20	20	GA	pe
20_S20_L002_R2_001	2	20	20	GA	pe
210_S208_L001_R1_001	1	210	210	MD	pe
210_S208_L001_R2_001	1	210	210	MD	pe
210_S208_L002_R1_001	2	210	210	MD	pe
210_S208_L002_R2_001	2	210	210	MD	pe
211_S209_L001_R1_001	1	211	211	MD	pe
211_S209_L001_R2_001	1	211	211	MD	pe
211_S209_L002_R1_001	2	211	211	MD	pe
211_S209_L002_R2_001	2	211	211	MD	pe
212_S210_L001_R1_001	1	212	212	NC	pe
212_S210_L001_R2_001	1	212	212	NC	pe
212_S210_L002_R1_001	2	212	212	NC	pe
212_S210_L002_R2_001	2	212	212	NC	pe
213_S211_L001_R1_001	1	213	213	NC	pe
213_S211_L001_R2_001	1	213	213	NC	pe
213_S211_L002_R1_001	2	213	213	NC	pe
213_S211_L002_R2_001	2	213	213	NC	pe
214_S212_L001_R1_001	1	214	214	NC	pe
214_S212_L001_R2_001	1	214	214	NC	pe
214_S212_L002_R1_001	2	214	214	NC	pe
214_S212_L002_R2_001	2	214	214	NC	pe
215_S213_L001_R1_001	1	215	215	NC	pe
215_S213_L001_R2_001	1	215	215	NC	pe
215_S213_L002_R1_001	2	215	215	NC	pe
215_S213_L002_R2_001	2	215	215	NC	pe
216_S214_L001_R1_001	1	216	216	NC	pe
216_S214_L001_R2_001	1	216	216	NC	pe
216_S214_L002_R1_001	2	216	216	NC	pe
216_S214_L002_R2_001	2	216	216	NC	pe
217_S215_L001_R1_001	1	217	217	NC	pe
217_S215_L001_R2_001	1	217	217	NC	pe
217_S215_L002_R1_001	2	217	217	NC	pe
217_S215_L002_R2_001	2	217	217	NC	pe
218_S216_L001_R1_001	1	218	218	MD	pe
218_S216_L001_R2_001	1	218	218	MD	pe
218_S216_L002_R1_001	2	218	218	MD	pe
218_S216_L002_R2_001	2	218	218	MD	pe
219_S217_L001_R1_001	1	219	219	DE	pe
219_S217_L001_R2_001	1	219	219	DE	pe
219_S217_L002_R1_001	2	219	219	DE	pe
219_S217_L002_R2_001	2	219	219	DE	pe
21_S21_L001_R1_001	1	21	21	GA	pe
21_S21_L001_R2_001	1	21	21	GA	pe
21_S21_L002_R1_001	2	21	21	GA	pe
21_S21_L002_R2_001	2	21	21	GA	pe
220_S218_L001_R1_001	1	220	220	DE	pe
220_S218_L001_R2_001	1	220	220	DE	pe
220_S218_L002_R1_001	2	220	220	DE	pe
220_S218_L002_R2_001	2	220	220	DE	pe
221_S219_L001_R1_001	1	221	221	DE	pe
221_S219_L001_R2_001	1	221	221	DE	pe
221_S219_L002_R1_001	2	221	221	DE	pe
221_S219_L002_R2_001	2	221	221	DE	pe
222_S220_L001_R1_001	1	222	222	DE	pe
222_S220_L001_R2_001	1	222	222	DE	pe
222_S220_L002_R1_001	2	222	222	DE	pe
222_S220_L002_R2_001	2	222	222	DE	pe
223_S221_L001_R1_001	1	223	223	DE	pe
223_S221_L001_R2_001	1	223	223	DE	pe
223_S221_L002_R1_001	2	223	223	DE	pe
223_S221_L002_R2_001	2	223	223	DE	pe
224_S222_L001_R1_001	1	224	224	DE	pe
224_S222_L001_R2_001	1	224	224	DE	pe
224_S222_L002_R1_001	2	224	224	DE	pe
224_S222_L002_R2_001	2	224	224	DE	pe
225_S223_L001_R1_001	1	225	225	DE	pe
225_S223_L001_R2_001	1	225	225	DE	pe
225_S223_L002_R1_001	2	225	225	DE	pe
225_S223_L002_R2_001	2	225	225	DE	pe
226_S224_L001_R1_001	1	226	226	DE	pe
