sample_seq_id	lane_number	seq_id	sample_id_corrected	population	data_type
1_merged_merged_pe	merged	merged	1	GA	pe
2_merged_merged_pe	merged	merged	2	GA	pe
3_merged_merged_pe	merged	merged	3	GA	pe
4_merged_merged_pe	merged	merged	4	GA	pe
5_merged_merged_pe	merged	merged	5	GA	pe
6_merged_merged_pe	merged	merged	6	GA	pe
7_merged_merged_pe	merged	merged	7	GA	pe
8_merged_merged_pe	merged	merged	8	GA	pe
9_merged_merged_pe	merged	merged	9	GA	pe
10_merged_merged_pe	merged	merged	10	GA	pe
11_merged_merged_pe	merged	merged	11	GA	pe
12_merged_merged_pe	merged	merged	12	GA	pe
13_merged_merged_pe	merged	merged	13	GA	pe
14_merged_merged_pe	merged	merged	14	GA	pe
15_merged_merged_pe	merged	merged	15	GA	pe
16_merged_merged_pe	merged	merged	16	GA	pe
17_merged_merged_pe	merged	merged	17	GA	pe
18_merged_merged_pe	merged	merged	18	GA	pe
19_merged_merged_pe	merged	merged	19	GA	pe
20_merged_merged_pe	merged	merged	20	GA	pe
21_merged_merged_pe	merged	merged	21	GA	pe
22_merged_merged_pe	merged	merged	22	GA	pe
23_merged_merged_pe	merged	merged	23	GA	pe
24_merged_merged_pe	merged	merged	24	GA	pe
25_merged_merged_pe	merged	merged	25	GA	pe
26_merged_merged_pe	merged	merged	26	GA	pe
27_merged_merged_pe	merged	merged	27	GA	pe
28_merged_merged_pe	merged	merged	28	GA	pe
29_merged_merged_pe	merged	merged	29	GA	pe
30_merged_merged_pe	merged	merged	30	GA	pe
31_merged_merged_pe	merged	merged	31	GA	pe
32_merged_merged_pe	merged	merged	32	GA	pe
33_merged_merged_pe	merged	merged	33	GA	pe
34_merged_merged_pe	merged	merged	34	GA	pe
35_merged_merged_pe	merged	merged	35	GA	pe
36_merged_merged_pe	merged	merged	36	OB	pe
37_merged_merged_pe	merged	merged	37	OB	pe
38_merged_merged_pe	merged	merged	38	OB	pe
39_merged_merged_pe	merged	merged	39	OB	pe
40_merged_merged_pe	merged	merged	40	OB	pe
41_merged_merged_pe	merged	merged	41	OB	pe
42_merged_merged_pe	merged	merged	42	OB	pe
43_merged_merged_pe	merged	merged	43	OB	pe
44_merged_merged_pe	merged	merged	44	OB	pe
45_merged_merged_pe	merged	merged	45	OB	pe
46_merged_merged_pe	merged	merged	46	OB	pe
47_merged_merged_pe	merged	merged	47	OB	pe
48_merged_merged_pe	merged	merged	48	OB	pe
49_merged_merged_pe	merged	merged	49	OB	pe
50_merged_merged_pe	merged	merged	50	OB	pe
51_merged_merged_pe	merged	merged	51	OB	pe
52_merged_merged_pe	merged	merged	52	OB	pe
53_merged_merged_pe	merged	merged	53	OB	pe
54_merged_merged_pe	merged	merged	54	OB	pe
55_merged_merged_pe	merged	merged	55	OB	pe
56_merged_merged_pe	merged	merged	56	OB	pe
57_merged_merged_pe	merged	merged	57	OB	pe
58_merged_merged_pe	merged	merged	58	OB	pe
59_merged_merged_pe	merged	merged	59	OB	pe
60_merged_merged_pe	merged	merged	60	OB	pe
61_merged_merged_pe	merged	merged	61	OB	pe
62_merged_merged_pe	merged	merged	62	OB	pe
63_merged_merged_pe	merged	merged	63	OB	pe
64_merged_merged_pe	merged	merged	64	OB	pe
65_merged_merged_pe	merged	merged	65	OB	pe
66_merged_merged_pe	merged	merged	66	OB	pe
67_merged_merged_pe	merged	merged	67	OB	pe
